organisation,statistical-geography,start-date,end-date,point-count
development-corporation:Q20648596,E51000002,2015-04-01,,79
development-corporation:Q6670544,E51000001,2012-03-09,,3
development-corporation:Q72456968,E51000004,2017-08-01,,0
development-corporation:Q72463795,E51000003,2015-04-20,,0
local-authority-eng:ADU,E07000223,,,26
local-authority-eng:ALL,E07000026,,,20
local-authority-eng:AMB,E07000032,,,43
local-authority-eng:ARU,E07000224,,,38
local-authority-eng:ASF,E07000105,,,27
local-authority-eng:ASH,E07000170,,,24
local-authority-eng:AYL,E07000004,,,24
local-authority-eng:BAB,E07000200,,,5
local-authority-eng:BAE,E07000171,,,22
local-authority-eng:BAI,E07000066,,,71
local-authority-eng:BAN,E07000084,,,90
local-authority-eng:BAR,E07000027,,,27
local-authority-eng:BAS,E06000022,1996-04-01,,79
local-authority-eng:BBD,E06000008,1998-04-01,,33
local-authority-eng:BDF,E06000055,2009-04-01,,110
local-authority-eng:BDG,E09000002,,,63
local-authority-eng:BEN,E09000005,,,116
local-authority-eng:BEX,E09000004,,,69
local-authority-eng:BIR,E08000025,1986-07-01,,992
local-authority-eng:BLA,E07000129,,,25
local-authority-eng:BNE,E09000003,,,148
local-authority-eng:BNH,E06000043,1905-06-19,,220
local-authority-eng:BNS,E08000016,1974-04-01,,49
local-authority-eng:BOL,E08000001,1974-04-01,,149
local-authority-eng:BOS,E07000033,,,28
local-authority-eng:BOT,E07000136,,,45
local-authority-eng:BPC,E06000058,2019-04-01,,1
local-authority-eng:BPL,E06000009,1905-06-20,,56
local-authority-eng:BRA,E07000067,,,39
local-authority-eng:BRC,E06000036,1998-04-01,,53
local-authority-eng:BRD,E08000032,1974-04-01,,309
local-authority-eng:BRE,E07000143,,,25
local-authority-eng:BRM,E07000234,,,15
local-authority-eng:BRO,E07000144,,,22
local-authority-eng:BRT,E07000172,,,23
local-authority-eng:BRW,E07000068,,,51
local-authority-eng:BRX,E07000095,,,42
local-authority-eng:BRY,E09000006,,,89
local-authority-eng:BST,E06000023,1905-06-18,,392
local-authority-eng:BUN,E07000117,,,23
local-authority-eng:BUR,E08000002,1974-04-01,,71
local-authority-eng:CAB,E07000008,,,18
local-authority-eng:CAM,E10000003,,,0
local-authority-eng:CAN,E07000192,,,91
local-authority-eng:CAR,E07000028,,,17
local-authority-eng:CAS,E07000069,,,42
local-authority-eng:CAT,E07000106,,,62
local-authority-eng:CBF,E06000056,2009-04-01,,60
local-authority-eng:CHA,E07000130,,,99
local-authority-eng:CHE,E06000049,2009-04-01,,123
local-authority-eng:CHI,E07000225,1974-04-01,,23
local-authority-eng:CHL,E07000070,,,55
local-authority-eng:CHN,E07000005,,,51
local-authority-eng:CHO,E07000118,,,88
local-authority-eng:CHR,E07000177,,,43
local-authority-eng:CHS,E07000034,,,57
local-authority-eng:CHT,E07000078,,,41
local-authority-eng:CHW,E06000050,2009-04-01,,240
local-authority-eng:CLD,E08000033,1974-04-01,,85
local-authority-eng:CMA,E10000006,,,0
local-authority-eng:CMD,E09000007,,,97
local-authority-eng:COL,E07000071,,,33
local-authority-eng:CON,E06000052,2009-04-01,,167
local-authority-eng:COP,E07000029,,,24
local-authority-eng:COR,E07000150,,,8
local-authority-eng:COT,E07000079,,,38
local-authority-eng:COV,E08000026,1974-04-01,,136
local-authority-eng:CPCA,E47000008,2014-04-01,,0
local-authority-eng:CRA,E07000163,,,43
local-authority-eng:CRW,E07000226,1974-04-01,,32
local-authority-eng:CRY,E09000008,,,464
local-authority-eng:DAC,E07000096,,,37
local-authority-eng:DAL,E06000005,1997-04-01,,13
local-authority-eng:DAR,E07000107,,,35
local-authority-eng:DAV,E07000151,,,7
local-authority-eng:DBY,E10000007,,,0
local-authority-eng:DEB,E07000035,,,30
local-authority-eng:DER,E06000015,,,46
local-authority-eng:DEV,E10000008,,,0
local-authority-eng:DNC,E08000017,1974-04-01,,102
local-authority-eng:DOV,E07000108,,,59
local-authority-eng:DST,E06000059,2019-04-01,,1
local-authority-eng:DUD,E08000027,1974-04-01,,28
local-authority-eng:DUR,E06000047,2009-04-01,,68
local-authority-eng:EAL,E09000009,,,70
local-authority-eng:EAS,E07000061,,,117
local-authority-eng:EAT,E07000086,,,25
local-authority-eng:ECA,E07000009,,,63
local-authority-eng:EDE,E07000040,,,38
local-authority-eng:EDN,E07000030,,,88
local-authority-eng:EHA,E07000085,,,3
local-authority-eng:EHE,E07000097,,,24
local-authority-eng:ELI,E07000137,,,29
local-authority-eng:ELM,E07000207,,,62
local-authority-eng:ENF,E09000010,,,27
local-authority-eng:ENO,E07000152,,,5
local-authority-eng:EPP,E07000072,,,92
local-authority-eng:EPS,E07000208,,,16
local-authority-eng:ERE,E07000036,,,47
local-authority-eng:ERY,E06000011,1996-04-01,,99
local-authority-eng:ESK,E07000244,2019-04-01,,86
local-authority-eng:ESS,E10000012,,,0
local-authority-eng:EST,E07000193,,,59
local-authority-eng:ESX,E10000011,,,0
local-authority-eng:EXE,E07000041,,,24
local-authority-eng:FAR,E07000087,,,44
local-authority-eng:FEN,E07000010,,,37
local-authority-eng:FOE,E07000080,,,49
local-authority-eng:FYL,E07000119,,,1
local-authority-eng:GAT,E08000020,1974-04-01,,129
local-authority-eng:GED,E07000173,,,59
local-authority-eng:GLA,E12000007,1905-06-22,,0
local-authority-eng:GLO,E07000081,,,37
local-authority-eng:GLS,E10000013,,,0
local-authority-eng:GMCA,E47000001,2014-04-01,,0
local-authority-eng:GOS,E07000088,,,24
local-authority-eng:GRA,E07000109,,,51
local-authority-eng:GRE,E09000011,,,113
local-authority-eng:GRT,E07000209,,,125
local-authority-eng:GRY,E07000145,,,55
local-authority-eng:HAA,E07000090,,,74
local-authority-eng:HAE,E07000164,,,5
local-authority-eng:HAG,E07000165,,,90
local-authority-eng:HAL,E06000006,1998-04-01,,34
local-authority-eng:HAM,E10000014,,,0
local-authority-eng:HAO,E07000131,,,7
local-authority-eng:HAR,E07000073,,,38
local-authority-eng:HAS,E07000062,,,41
local-authority-eng:HAT,E07000089,,,105
local-authority-eng:HAV,E09000016,,,99
local-authority-eng:HCK,E09000012,,,38
local-authority-eng:HEF,E06000019,1998-04-01,,156
local-authority-eng:HER,E07000098,,,37
local-authority-eng:HIG,E07000037,,,31
local-authority-eng:HIL,E09000017,,,84
local-authority-eng:HIN,E07000132,,,10
local-authority-eng:HMF,E09000013,,,12
local-authority-eng:HNS,E09000018,,,9
local-authority-eng:HOR,E07000227,1974-04-01,,40
local-authority-eng:HPL,E06000001,1905-06-18,,27
local-authority-eng:HRT,E10000015,,,0
local-authority-eng:HRW,E09000015,,,102
local-authority-eng:HRY,E09000014,,,244
local-authority-eng:HUN,E07000011,,,19
local-authority-eng:HYN,E07000120,,,38
local-authority-eng:IOS,E06000053,1974-04-01,,3
local-authority-eng:IOW,E06000046,1905-06-17,,46
local-authority-eng:IPS,E07000202,,,72
local-authority-eng:ISL,E09000019,,,117
local-authority-eng:KEC,E09000020,,,64
local-authority-eng:KEN,E10000016,,,0
local-authority-eng:KET,E07000153,,,7
local-authority-eng:KHL,E06000010,1996-04-01,,61
local-authority-eng:KIN,E07000146,,,51
local-authority-eng:KIR,E08000034,1974-04-01,,119
local-authority-eng:KTT,E09000021,,,80
local-authority-eng:KWL,E08000011,1974-04-01,,96
local-authority-eng:LAC,E07000121,,,63
local-authority-eng:LAN,E10000017,,,0
local-authority-eng:LBH,E09000022,,,73
local-authority-eng:LCE,E06000016,1905-06-19,,66
local-authority-eng:LCR,E47000004,2014-04-01,,0
local-authority-eng:LDS,E08000035,1905-06-08,,383
local-authority-eng:LEC,E10000018,,,0
local-authority-eng:LEE,E07000063,,,56
local-authority-eng:LEW,E09000023,,,172
local-authority-eng:LIC,E07000138,,,14
local-authority-eng:LIF,E07000194,,,45
local-authority-eng:LIN,E10000019,,,0
local-authority-eng:LIV,E08000012,1905-06-08,,406
local-authority-eng:LND,E09000001,1905-06-28,,2
local-authority-eng:LUT,E06000032,1905-06-19,,158
local-authority-eng:MAI,E07000110,,,158
local-authority-eng:MAL,E07000074,,,8
local-authority-eng:MAN,E08000003,1974-04-01,,528
local-authority-eng:MAS,E07000174,,,18
local-authority-eng:MAV,E07000235,,,18
local-authority-eng:MDB,E06000002,1905-06-18,,57
local-authority-eng:MDE,E07000042,,,19
local-authority-eng:MDW,E06000035,1998-04-01,,30
local-authority-eng:MEL,E07000133,,,45
local-authority-eng:MEN,E07000187,,,32
local-authority-eng:MIK,E06000042,1905-06-19,,71
local-authority-eng:MOL,E07000210,,,27
local-authority-eng:MRT,E09000024,,,52
local-authority-eng:MSS,E07000228,1974-04-01,,63
local-authority-eng:MSU,E07000203,,,10
local-authority-eng:NBL,E06000048,2009-04-01,,272
local-authority-eng:NDE,E07000043,,,82
local-authority-eng:NEA,E07000175,,,37
local-authority-eng:NEC,E07000195,,,58
local-authority-eng:NECA,E47000005,2014-04-15,,0
local-authority-eng:NED,E07000038,,,39
local-authority-eng:NEL,E06000012,1996-04-01,,46
local-authority-eng:NET,E08000021,1974-04-01,,165
local-authority-eng:NEW,E07000091,,,49
local-authority-eng:NFK,E10000020,,,0
local-authority-eng:NGM,E06000018,1905-06-20,,592
local-authority-eng:NHE,E07000099,,,36
local-authority-eng:NKE,E07000139,,,2
local-authority-eng:NLN,E06000013,1996-04-01,,65
local-authority-eng:NNO,E07000147,,,16
local-authority-eng:NOR,E07000154,,,89
local-authority-eng:NOW,E07000148,,,129
local-authority-eng:NSM,E06000024,1996-04-01,,77
local-authority-eng:NTT,E10000024,,,0
local-authority-eng:NTY,E08000022,1974-04-01,,74
local-authority-eng:NUN,E07000219,,,52
local-authority-eng:NWA,E07000218,,,32
local-authority-eng:NWL,E07000134,,,27
local-authority-eng:NWM,E09000025,,,81
local-authority-eng:NYK,E10000023,,,0
local-authority-eng:OAD,E07000135,,,18
local-authority-eng:OLD,E08000004,1905-06-07,,113
local-authority-eng:OXF,E10000025,,,0
local-authority-eng:OXO,E07000178,,,61
local-authority-eng:PEN,E07000122,,,34
local-authority-eng:PLY,E06000026,1998-04-01,,118
local-authority-eng:POR,E06000044,1905-06-20,,91
local-authority-eng:PRE,E07000123,,,49
local-authority-eng:PTE,E06000031,1905-06-20,,72
local-authority-eng:RCC,E06000003,1996-04-01,,33
local-authority-eng:RCH,E08000005,1905-05-27,,155
local-authority-eng:RDB,E09000026,,,187
local-authority-eng:RDG,E06000038,1905-05-27,,174
local-authority-eng:RED,E07000236,,,17
local-authority-eng:REI,E07000211,,,65
local-authority-eng:RIB,E07000124,,,2
local-authority-eng:RIC,E09000027,,,58
local-authority-eng:RIH,E07000166,,,9
local-authority-eng:ROC,E07000075,,,23
local-authority-eng:ROH,E07000064,,,48
local-authority-eng:ROS,E07000125,,,44
local-authority-eng:ROT,E08000018,1905-05-27,,83
local-authority-eng:RUG,E07000220,,,12
local-authority-eng:RUH,E07000092,,,46
local-authority-eng:RUN,E07000212,,,76
local-authority-eng:RUS,E07000176,,,18
local-authority-eng:RUT,E06000017,1997-04-01,,5
local-authority-eng:RYE,E07000167,,,6
local-authority-eng:SAL,E07000100,1974-04-01,,25
local-authority-eng:SAW,E08000028,1905-06-07,,313
local-authority-eng:SBU,E07000006,,,37
local-authority-eng:SCA,E07000012,,,66
local-authority-eng:SCE,E07000168,,,68
local-authority-eng:SCR,E47000002,2018-05-03,,0
local-authority-eng:SDE,E07000039,,,20
local-authority-eng:SEG,E07000188,,,47
local-authority-eng:SEL,E07000169,,,61
local-authority-eng:SEV,E07000111,,,170
local-authority-eng:SFK,E10000029,,,0
local-authority-eng:SFT,E08000014,1905-06-08,,56
local-authority-eng:SGC,E06000025,1905-06-18,,128
local-authority-eng:SHA,E07000044,,,14
local-authority-eng:SHE,E07000112,,,25
local-authority-eng:SHF,E08000019,1905-06-08,,365
local-authority-eng:SHN,E08000013,1905-06-08,,110
local-authority-eng:SHO,E07000140,,,37
local-authority-eng:SHR,E06000051,2009-04-01,,82
local-authority-eng:SKE,E07000141,,,12
local-authority-eng:SKP,E08000007,1905-05-27,,75
local-authority-eng:SLA,E07000031,,,28
local-authority-eng:SLF,E08000006,1905-05-27,,212
local-authority-eng:SLG,E06000039,1998-04-01,,111
local-authority-eng:SND,E08000024,1905-05-27,,89
local-authority-eng:SNO,E07000149,,,47
local-authority-eng:SNR,E07000155,,,24
local-authority-eng:SOL,E08000029,1905-05-27,,52
local-authority-eng:SOM,E10000027,,,0
local-authority-eng:SOS,E06000033,1905-06-20,,56
local-authority-eng:SOX,E07000179,,,48
local-authority-eng:SPE,E07000213,,,37
local-authority-eng:SRI,E07000126,,,40
local-authority-eng:SRY,E10000030,,,0
local-authority-eng:SSO,E07000189,,,51
local-authority-eng:SST,E07000196,,,8
local-authority-eng:STA,E07000197,,,42
local-authority-eng:STE,E06000021,1905-06-20,,213
local-authority-eng:STF,E07000198,,,37
local-authority-eng:STH,E06000045,1905-06-19,,37
local-authority-eng:STN,E09000029,,,104
local-authority-eng:STO,E07000082,,,86
local-authority-eng:STR,E07000221,,,77
local-authority-eng:STS,E10000028,,,0
local-authority-eng:STT,E06000004,1905-06-18,,21
local-authority-eng:STV,E07000101,,,22
local-authority-eng:STY,E08000023,1974-04-01,,25
local-authority-eng:SUR,E07000214,,,98
local-authority-eng:SWD,E06000030,1905-06-20,,138
local-authority-eng:SWK,E09000028,,,347
local-authority-eng:SWL,E07000113,,,17
local-authority-eng:SWT,E07000246,2019-04-01,,1
local-authority-eng:TAM,E08000008,1974-04-01,,88
local-authority-eng:TAN,E07000215,,,126
local-authority-eng:TAW,E07000199,,,40
local-authority-eng:TEI,E07000045,,,38
local-authority-eng:TEN,E07000076,,,53
local-authority-eng:TES,E07000093,,,12
local-authority-eng:TEW,E07000083,,,15
local-authority-eng:TFW,E06000020,1905-06-20,,45
local-authority-eng:THA,E07000114,,,77
local-authority-eng:THE,E07000102,1974-04-01,,38
local-authority-eng:THR,E06000034,1905-06-20,,62
local-authority-eng:TOB,E06000027,1905-06-20,,89
local-authority-eng:TON,E07000115,,,11
local-authority-eng:TOR,E07000046,,,21
local-authority-eng:TRF,E08000009,1974-04-01,,58
local-authority-eng:TUN,E07000116,,,62
local-authority-eng:TVCA,E47000006,2014-04-01,,0
local-authority-eng:TWH,E09000030,,,27
local-authority-eng:UTT,E07000077,,,17
local-authority-eng:VAL,E07000180,,,42
local-authority-eng:WAE,E07000216,,,69
local-authority-eng:WAR,E10000031,,,0
local-authority-eng:WAT,E07000103,,,37
local-authority-eng:WAW,E07000222,,,32
local-authority-eng:WBK,E06000037,1905-06-20,,62
local-authority-eng:WDE,E07000047,,,4
local-authority-eng:WEA,E07000065,,,36
local-authority-eng:WECA,E47000009,2017-02-09,,0
local-authority-eng:WEL,E07000156,,,9
local-authority-eng:WEW,E07000104,,,78
local-authority-eng:WFT,E09000031,,,63
local-authority-eng:WGN,E08000010,1974-04-01,,157
local-authority-eng:WIL,E06000054,2009-04-01,,118
local-authority-eng:WIN,E07000094,,,74
local-authority-eng:WKF,E08000036,1974-04-01,,163
local-authority-eng:WLA,E07000127,,,26
local-authority-eng:WLI,E07000142,,,58
local-authority-eng:WLL,E08000030,1974-04-01,,111
local-authority-eng:WLV,E08000031,1974-04-01,,659
local-authority-eng:WMCA,E47000007,2016-06-17,,0
local-authority-eng:WND,E09000032,,,243
local-authority-eng:WNM,E06000040,1905-06-20,,32
local-authority-eng:WOC,E07000237,,,44
local-authority-eng:WOI,E07000217,,,123
local-authority-eng:WOK,E06000041,1905-06-20,,92
local-authority-eng:WOR,E10000034,,,0
local-authority-eng:WOT,E07000229,1905-06-25,,43
local-authority-eng:WOX,E07000181,,,21
local-authority-eng:WRL,E08000015,1974-04-01,,92
local-authority-eng:WRT,E06000007,1905-06-20,,167
local-authority-eng:WSK,E07000245,2019-04-01,,28
local-authority-eng:WSM,E09000033,,,102
local-authority-eng:WSX,E10000032,,,0
local-authority-eng:WYC,E07000238,,,22
local-authority-eng:WYCA,E47000003,2014-04-01,,0
local-authority-eng:WYE,E07000239,,,58
local-authority-eng:WYO,E07000007,,,101
local-authority-eng:WYR,E07000128,,,37
local-authority-eng:YOR,E06000014,1905-06-18,,63
national-park-authority:Q20198711,E26000010,,,0
national-park-authority:Q27159704,E26000003,,,6
national-park-authority:Q27178932,E26000008,,,8
national-park-authority:Q4972284,E26000007,1978-01-01,,28
national-park-authority:Q5225646,E26000001,,,7
national-park-authority:Q72617158,E26000009,,,26
national-park-authority:Q72617669,E26000005,,,4
national-park-authority:Q72617784,E26000002,,,6
national-park-authority:Q72617890,E26000004,,,1
national-park-authority:Q72617988,E26000006,,,4
